Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.5,0.013,0,0.679546,0,0.320454,0.898635,4982
0.52,0.037,0,0.555213,0,0.444787,0.79932,4709
0.77,0.022,0,0.817376,0,0.182624,0.962925,4909
0.77,0.023,0,0.834084,0,0.165916,0.973167,4882
0.77,0.024,0,0.714315,0,0.285685,0.922984,4960
0.77,0.025,0,0.738905,0,0.261095,0.941164,4912
0.77,0.026,0,0.735504,0,0.264496,0.935093,4622
0.77,0.027,0,0.694461,0,0.305539,0.911711,4893
0.77,0.028,0,0.758285,0,0.241715,0.940774,4677
0.77,0.029,0,0.678191,0,0.321809,0.892417,4787
0.77,0.03,0,0.681278,0,0.318722,0.902397,4631
0.77,0.031,0,0.74911,0,0.25089,0.936937,4773
0.52,0.038,0,0.571754,0,0.428246,0.814723,4836
0.77,0.032,0,0.767238,0,0.232762,0.943642,4844
0.77,0.033,0,0.598103,0,0.401897,0.839241,4796
0.77,0.034,0,0.571342,0,0.428658,0.826799,4948
